Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD4479,Ahmedabad,Gujarat Institute Of Technology,3rd,Electric Vehicle,Mass-Mailing
LD4480,Bangalore,Nirma University,3rd,Robotics,Instagram
LD4481,Mumbai,Nirma University,4th,Data Science,Mass-Mailing
LD4482,Jaipur,Chandigarh University,1st,Electric Vehicle,Google Form
LD4483,Jaipur,Indus University,4th,Electric Vehicle,Mass-Mailing
LD4484,Jaipur,Nirma University,2nd,AI,Instagram
LD4485,Hyderabad,St Xaviers College,3rd,Robotics,Instagram
LD4486,Mumbai,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD4487,Jaipur,St Xaviers College,4th,Robotics,College Collaboration
LD4488,Surat,Nirma University,4th,Data Science,Google Form
LD4489,Hyderabad,Nirma University,4th,Data Science,College Collaboration
LD4490,Delhi,CPET Academy,4th,Data Science,Google Form
LD4491,Surat,CPET Academy,1st,AI,Google Form
LD4492,Bangalore,Chandigarh University,1st,Data Science,LinkedIn
LD4493,Ahmedabad,Nirma University,3rd,Electric Vehicle,Mass-Mailing
LD4494,Chandigarh,Indus University,3rd,Robotics,LinkedIn
LD4495,Kolkata,St Xaviers College,2nd,Robotics,College Collaboration
LD4496,Ahmedabad,Nirma University,4th,Robotics,Instagram
LD4497,Bangalore,CPET Academy,3rd,Robotics,Instagram
LD4498,Ahmedabad,Nirma University,1st,Robotics,Instagram
LD4499,Surat,Nirma University,3rd,AI,Instagram
LD4500,Surat,Chandigarh University,2nd,Robotics,LinkedIn
LD4501,Hyderabad,Chandigarh University,3rd,Robotics,Google Form
LD4502,Chandigarh,Nirma University,3rd,Robotics,Instagram
LD4503,Jaipur,St Xaviers College,1st,AI,Mass-Mailing
LD4504,Mumbai,Indus University,3rd,Robotics,Instagram
LD4505,Surat,Chandigarh University,4th,AI,College Collaboration
LD4506,Ahmedabad,CPET Academy,4th,Data Science,LinkedIn
LD4507,Hyderabad,Chandigarh University,2nd,Data Science,Instagram
LD4508,Bangalore,CPET Academy,3rd,Data Science,Google Form
LD4509,Pune,CPET Academy,2nd,AI,Instagram
LD4510,Chandigarh,St Xaviers College,3rd,Electric Vehicle,LinkedIn
LD4511,Mumbai,Indus University,2nd,Data Science,WhatsApp
LD4512,Surat,Gujarat Institute Of Technology,1st,Robotics,WhatsApp
LD4513,Hyderabad,Indus University,4th,Data Science,Instagram
LD4514,Bangalore,Indus University,4th,Data Science,Instagram
LD4515,Jaipur,Chandigarh University,1st,AI,WhatsApp
LD4516,Bangalore,St Xaviers College,2nd,Robotics,WhatsApp
LD4517,Pune,CPET Academy,1st,Electric Vehicle,LinkedIn
LD4518,Hyderabad,CPET Academy,3rd,Data Science,WhatsApp
LD4519,Chandigarh,Chandigarh University,2nd,Data Science,Google Form
LD4520,Pune,Chandigarh University,4th,AI,LinkedIn
LD4521,Chandigarh,Nirma University,2nd,AI,Mass-Mailing
LD4522,Kolkata,St Xaviers College,3rd,Data Science,Mass-Mailing
LD4523,Kolkata,Nirma University,1st,AI,Google Form
LD4524,Pune,Chandigarh University,4th,AI,WhatsApp
LD4525,Mumbai,Nirma University,3rd,Electric Vehicle,WhatsApp
LD4526,Surat,Chandigarh University,2nd,Robotics,Google Form
LD4527,Pune,Indus University,2nd,Data Science,Instagram
LD4528,Kolkata,Indus University,1st,Electric Vehicle,Google Form
LD4529,Delhi,Indus University,4th,Electric Vehicle,Google Form
LD4530,Mumbai,St Xaviers College,4th,AI,WhatsApp
LD4531,Mumbai,St Xaviers College,1st,Data Science,LinkedIn
LD4532,Hyderabad,Indus University,4th,Electric Vehicle,College Collaboration
LD4533,Delhi,Nirma University,2nd,Robotics,Google Form
LD4534,Chandigarh,Gujarat Institute Of Technology,4th,Robotics,College Collaboration
LD4535,Pune,St Xaviers College,4th,Robotics,LinkedIn
LD4536,Pune,Indus University,1st,Data Science,Mass-Mailing
LD4537,Jaipur,St Xaviers College,2nd,Data Science,Mass-Mailing
LD4538,Bangalore,Chandigarh University,1st,Robotics,WhatsApp
LD4539,Pune,Nirma University,4th,AI,Google Form
LD4540,Kolkata,Indus University,3rd,AI,Google Form
LD4541,Chandigarh,CPET Academy,1st,AI,WhatsApp
LD4542,Ahmedabad,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD4543,Delhi,Gujarat Institute Of Technology,3rd,Electric Vehicle,Mass-Mailing
LD4544,Kolkata,Indus University,3rd,Electric Vehicle,LinkedIn
LD4545,Jaipur,CPET Academy,4th,Data Science,Google Form
LD4546,Hyderabad,St Xaviers College,1st,Robotics,College Collaboration
LD4547,Bangalore,St Xaviers College,3rd,Data Science,College Collaboration
LD4548,Jaipur,St Xaviers College,2nd,Data Science,WhatsApp
LD4549,Chandigarh,Indus University,4th,Electric Vehicle,Mass-Mailing
LD4550,Mumbai,Chandigarh University,4th,Robotics,WhatsApp
LD4551,Pune,St Xaviers College,2nd,Robotics,Google Form
LD4552,Surat,CPET Academy,4th,Robotics,Google Form
LD4553,Kolkata,Gujarat Institute Of Technology,3rd,AI,LinkedIn
LD4554,Mumbai,Gujarat Institute Of Technology,2nd,Data Science,Google Form
LD4555,Surat,Indus University,3rd,Electric Vehicle,Google Form
LD4556,Hyderabad,Gujarat Institute Of Technology,1st,AI,Instagram
LD4557,Chandigarh,CPET Academy,3rd,Data Science,College Collaboration
LD4558,Jaipur,Chandigarh University,4th,AI,College Collaboration
LD4559,Mumbai,Nirma University,4th,Robotics,Mass-Mailing
LD4560,Hyderabad,Gujarat Institute Of Technology,1st,Data Science,WhatsApp
LD4561,Bangalore,Chandigarh University,3rd,Electric Vehicle,Mass-Mailing
LD4562,Delhi,Gujarat Institute Of Technology,2nd,Data Science,College Collaboration
LD4563,Pune,CPET Academy,3rd,AI,Instagram
LD4564,Chandigarh,Nirma University,4th,Robotics,Mass-Mailing
LD4565,Chandigarh,St Xaviers College,4th,Electric Vehicle,Google Form
LD4566,Pune,Indus University,3rd,Electric Vehicle,Mass-Mailing
LD4567,Bangalore,Indus University,3rd,Electric Vehicle,LinkedIn
LD4568,Surat,St Xaviers College,3rd,Electric Vehicle,WhatsApp
LD4569,Pune,CPET Academy,1st,Data Science,College Collaboration
LD4570,Bangalore,Chandigarh University,1st,Electric Vehicle,Google Form
LD4571,Chandigarh,Indus University,1st,Electric Vehicle,College Collaboration
LD4572,Surat,St Xaviers College,4th,Robotics,Google Form
LD4573,Surat,Gujarat Institute Of Technology,1st,Electric Vehicle,College Collaboration
LD4574,Bangalore,Chandigarh University,2nd,Electric Vehicle,WhatsApp
LD4575,Chandigarh,Chandigarh University,3rd,Electric Vehicle,College Collaboration
LD4576,Bangalore,St Xaviers College,2nd,Electric Vehicle,LinkedIn
LD4577,Hyderabad,Nirma University,3rd,Data Science,College Collaboration
LD4578,Hyderabad,Indus University,3rd,AI,LinkedIn
LD4579,Bangalore,Chandigarh University,4th,Robotics,College Collaboration
LD4580,Mumbai,Indus University,1st,AI,WhatsApp
LD4581,Pune,CPET Academy,2nd,Electric Vehicle,Google Form
LD4582,Ahmedabad,St Xaviers College,2nd,Robotics,College Collaboration
LD4583,Bangalore,Gujarat Institute Of Technology,2nd,Robotics,LinkedIn
LD4584,Chandigarh,Chandigarh University,4th,Data Science,Instagram
LD4585,Pune,St Xaviers College,1st,Electric Vehicle,College Collaboration
LD4586,Delhi,Chandigarh University,3rd,Robotics,Instagram
LD4587,Kolkata,Chandigarh University,2nd,AI,Google Form
LD4588,Surat,Indus University,3rd,Electric Vehicle,WhatsApp
LD4589,Bangalore,Chandigarh University,1st,AI,College Collaboration
LD4590,Chandigarh,Gujarat Institute Of Technology,4th,AI,College Collaboration
LD4591,Delhi,Indus University,3rd,Data Science,WhatsApp
LD4592,Delhi,Indus University,3rd,Data Science,Instagram
LD4593,Jaipur,Gujarat Institute Of Technology,1st,Data Science,College Collaboration
LD4594,Kolkata,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD4595,Pune,Indus University,4th,Robotics,LinkedIn
LD4596,Bangalore,Indus University,3rd,Data Science,Google Form
LD4597,Delhi,Gujarat Institute Of Technology,3rd,Electric Vehicle,LinkedIn
LD4598,Bangalore,Indus University,2nd,Data Science,LinkedIn
LD4599,Kolkata,Gujarat Institute Of Technology,2nd,Data Science,Mass-Mailing
LD4600,Pune,Nirma University,4th,Robotics,Instagram
LD4601,Ahmedabad,CPET Academy,2nd,Data Science,College Collaboration
LD4602,Hyderabad,Indus University,1st,Electric Vehicle,LinkedIn
LD4603,Hyderabad,Chandigarh University,3rd,Data Science,Google Form
LD4604,Surat,Nirma University,2nd,Electric Vehicle,LinkedIn
LD4605,Bangalore,Chandigarh University,3rd,Data Science,WhatsApp
LD4606,Ahmedabad,Nirma University,4th,AI,College Collaboration
LD4607,Delhi,Indus University,1st,AI,College Collaboration
LD4608,Chandigarh,Indus University,2nd,AI,WhatsApp
LD4609,Kolkata,CPET Academy,1st,AI,Mass-Mailing
LD4610,Jaipur,Nirma University,2nd,Data Science,WhatsApp
LD4611,Pune,Chandigarh University,1st,Robotics,LinkedIn
LD4612,Jaipur,Nirma University,3rd,Electric Vehicle,LinkedIn
LD4613,Chandigarh,Indus University,3rd,AI,College Collaboration
LD4614,Hyderabad,Chandigarh University,1st,Data Science,LinkedIn
LD4615,Hyderabad,St Xaviers College,3rd,Electric Vehicle,College Collaboration
LD4616,Mumbai,Indus University,4th,Electric Vehicle,Mass-Mailing
LD4617,Pune,St Xaviers College,4th,Data Science,Instagram
LD4618,Mumbai,Gujarat Institute Of Technology,2nd,AI,College Collaboration
LD4619,Delhi,Chandigarh University,4th,Electric Vehicle,WhatsApp
LD4620,Hyderabad,Indus University,3rd,Electric Vehicle,LinkedIn
LD4621,Mumbai,Chandigarh University,3rd,Robotics,Google Form
LD4622,Jaipur,CPET Academy,4th,Robotics,Google Form
LD4623,Surat,Chandigarh University,4th,Robotics,Mass-Mailing
LD4624,Hyderabad,Indus University,3rd,AI,Mass-Mailing
LD4625,Surat,St Xaviers College,3rd,Electric Vehicle,WhatsApp
LD4626,Ahmedabad,Indus University,4th,Data Science,LinkedIn
LD4627,Bangalore,Nirma University,1st,AI,Google Form
LD4628,Bangalore,Chandigarh University,4th,Robotics,Google Form
LD4629,Kolkata,Indus University,3rd,Robotics,Google Form
LD4630,Pune,Indus University,4th,Data Science,Google Form
LD4631,Chandigarh,Gujarat Institute Of Technology,3rd,Data Science,College Collaboration
LD4632,Hyderabad,Chandigarh University,2nd,Electric Vehicle,College Collaboration
LD4633,Surat,Gujarat Institute Of Technology,4th,AI,College Collaboration
LD4634,Mumbai,Gujarat Institute Of Technology,2nd,Robotics,WhatsApp
LD4635,Mumbai,CPET Academy,2nd,AI,LinkedIn
LD4636,Bangalore,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD4637,Pune,St Xaviers College,4th,Data Science,College Collaboration
LD4638,Bangalore,Nirma University,2nd,Robotics,Instagram
LD4639,Ahmedabad,Nirma University,1st,Robotics,Mass-Mailing
LD4640,Pune,Gujarat Institute Of Technology,2nd,AI,Instagram
LD4641,Mumbai,St Xaviers College,3rd,Electric Vehicle,Instagram
LD4642,Hyderabad,CPET Academy,1st,Robotics,Mass-Mailing
LD4643,Delhi,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD4644,Ahmedabad,Nirma University,4th,Electric Vehicle,Google Form
LD4645,Pune,St Xaviers College,2nd,Robotics,Google Form
LD4646,Hyderabad,Nirma University,2nd,AI,Google Form
LD4647,Kolkata,CPET Academy,1st,Electric Vehicle,College Collaboration
LD4648,Bangalore,Chandigarh University,4th,Robotics,Instagram
LD4649,Bangalore,CPET Academy,3rd,Electric Vehicle,Google Form
LD4650,Hyderabad,Nirma University,4th,AI,Mass-Mailing
LD4651,Kolkata,St Xaviers College,4th,Electric Vehicle,Google Form
LD4652,Kolkata,Nirma University,2nd,Robotics,WhatsApp
LD4653,Hyderabad,Nirma University,2nd,Robotics,LinkedIn
LD4654,Kolkata,Gujarat Institute Of Technology,1st,AI,LinkedIn
LD4655,Delhi,CPET Academy,3rd,AI,WhatsApp
LD4656,Jaipur,Gujarat Institute Of Technology,4th,Robotics,WhatsApp
LD4657,Kolkata,Gujarat Institute Of Technology,2nd,Data Science,Mass-Mailing
LD4658,Hyderabad,Nirma University,3rd,Robotics,LinkedIn
LD4659,Pune,St Xaviers College,3rd,Robotics,WhatsApp
LD4660,Surat,St Xaviers College,2nd,Data Science,WhatsApp
LD4661,Delhi,Chandigarh University,3rd,AI,Google Form
LD4662,Chandigarh,St Xaviers College,2nd,Electric Vehicle,LinkedIn
LD4663,Bangalore,Gujarat Institute Of Technology,1st,Data Science,Google Form
LD4664,Ahmedabad,CPET Academy,4th,AI,WhatsApp
LD4665,Surat,Indus University,4th,Data Science,Google Form
LD4666,Hyderabad,Chandigarh University,4th,AI,LinkedIn
LD4667,Ahmedabad,St Xaviers College,1st,Electric Vehicle,Instagram
LD4668,Delhi,Indus University,1st,AI,WhatsApp
LD4669,Kolkata,St Xaviers College,3rd,Electric Vehicle,Instagram
LD4670,Mumbai,Indus University,1st,AI,Mass-Mailing
LD4671,Delhi,Chandigarh University,4th,Robotics,Instagram
LD4672,Ahmedabad,Indus University,1st,AI,College Collaboration
LD4673,Hyderabad,Indus University,1st,Robotics,Instagram
LD4674,Jaipur,St Xaviers College,1st,AI,Mass-Mailing
LD4675,Ahmedabad,Gujarat Institute Of Technology,4th,Robotics,Google Form
LD4676,Delhi,Chandigarh University,4th,Robotics,Google Form
LD4677,Jaipur,Chandigarh University,3rd,Electric Vehicle,College Collaboration
LD4678,Bangalore,CPET Academy,4th,AI,Instagram
LD4679,Kolkata,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD4680,Kolkata,Chandigarh University,4th,AI,Mass-Mailing
LD4681,Mumbai,CPET Academy,1st,Data Science,College Collaboration
LD4682,Delhi,Indus University,3rd,Robotics,Instagram
LD4683,Kolkata,Nirma University,2nd,AI,WhatsApp
LD4684,Mumbai,Nirma University,2nd,AI,Google Form
LD4685,Mumbai,Chandigarh University,3rd,Data Science,LinkedIn
LD4686,Delhi,Nirma University,4th,AI,WhatsApp
LD4687,Delhi,Nirma University,4th,Data Science,Google Form
LD4688,Hyderabad,Indus University,1st,AI,Mass-Mailing
LD4689,Chandigarh,CPET Academy,1st,Electric Vehicle,College Collaboration
LD4690,Kolkata,Nirma University,1st,AI,Mass-Mailing
LD4691,Kolkata,CPET Academy,1st,Data Science,WhatsApp
LD4692,Pune,Gujarat Institute Of Technology,3rd,Data Science,WhatsApp
LD4693,Mumbai,Chandigarh University,4th,AI,WhatsApp
LD4694,Surat,Chandigarh University,4th,Data Science,LinkedIn
LD4695,Pune,Gujarat Institute Of Technology,3rd,Electric Vehicle,College Collaboration
LD4696,Pune,Gujarat Institute Of Technology,4th,Data Science,WhatsApp
LD4697,Pune,Nirma University,4th,Data Science,Instagram
LD4698,Chandigarh,Indus University,3rd,Electric Vehicle,Mass-Mailing
LD4699,Mumbai,CPET Academy,3rd,Robotics,WhatsApp
LD4700,Surat,Nirma University,2nd,AI,Google Form
LD4701,Pune,CPET Academy,3rd,AI,LinkedIn
LD4702,Ahmedabad,St Xaviers College,3rd,Data Science,Mass-Mailing
LD4703,Bangalore,CPET Academy,2nd,AI,Mass-Mailing
LD4704,Mumbai,Chandigarh University,2nd,Data Science,LinkedIn
LD4705,Bangalore,CPET Academy,4th,Data Science,College Collaboration
LD4706,Chandigarh,Nirma University,3rd,Data Science,Instagram
LD4707,Chandigarh,St Xaviers College,4th,AI,Instagram
LD4708,Bangalore,St Xaviers College,3rd,AI,Mass-Mailing
LD4709,Hyderabad,Nirma University,1st,Data Science,WhatsApp
LD4710,Kolkata,Nirma University,2nd,Data Science,College Collaboration
LD4711,Jaipur,Nirma University,4th,Electric Vehicle,LinkedIn
LD4712,Delhi,Indus University,3rd,Electric Vehicle,LinkedIn
LD4713,Delhi,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD4714,Surat,Indus University,1st,Robotics,Mass-Mailing
LD4715,Ahmedabad,Chandigarh University,2nd,AI,Google Form
LD4716,Delhi,St Xaviers College,1st,AI,Instagram
LD4717,Pune,Nirma University,2nd,Data Science,Google Form
LD4718,Pune,Indus University,3rd,Robotics,College Collaboration
LD4719,Surat,CPET Academy,2nd,Data Science,College Collaboration
LD4720,Hyderabad,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD4721,Bangalore,Nirma University,3rd,Electric Vehicle,Instagram
LD4722,Chandigarh,Indus University,1st,Data Science,Google Form
LD4723,Hyderabad,Nirma University,2nd,Electric Vehicle,WhatsApp
LD4724,Pune,Nirma University,4th,Electric Vehicle,WhatsApp
LD4725,Chandigarh,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD4726,Mumbai,Indus University,4th,Electric Vehicle,Instagram
LD4727,Ahmedabad,St Xaviers College,4th,Robotics,LinkedIn
LD4728,Surat,Chandigarh University,1st,AI,Instagram
LD4729,Surat,CPET Academy,1st,Robotics,LinkedIn
LD4730,Jaipur,Nirma University,2nd,Robotics,Instagram
LD4731,Delhi,Gujarat Institute Of Technology,2nd,Electric Vehicle,LinkedIn
LD4732,Jaipur,Gujarat Institute Of Technology,1st,AI,WhatsApp
LD4733,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,LinkedIn
LD4734,Mumbai,Indus University,4th,Data Science,College Collaboration
LD4735,Pune,St Xaviers College,2nd,Robotics,College Collaboration
LD4736,Ahmedabad,Indus University,2nd,Data Science,Instagram
LD4737,Chandigarh,Indus University,4th,Robotics,College Collaboration
LD4738,Surat,Chandigarh University,3rd,Robotics,College Collaboration
LD4739,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,College Collaboration
LD4740,Pune,Gujarat Institute Of Technology,3rd,Data Science,WhatsApp
LD4741,Kolkata,Nirma University,4th,Robotics,WhatsApp
LD4742,Chandigarh,Chandigarh University,1st,AI,Google Form
LD4743,Ahmedabad,CPET Academy,2nd,AI,WhatsApp
LD4744,Jaipur,CPET Academy,1st,AI,Instagram
LD4745,Delhi,Chandigarh University,4th,Robotics,Google Form
LD4746,Jaipur,Indus University,2nd,Robotics,Mass-Mailing
LD4747,Kolkata,Nirma University,3rd,Robotics,College Collaboration
LD4748,Ahmedabad,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD4749,Pune,CPET Academy,2nd,AI,Instagram
LD4750,Jaipur,Gujarat Institute Of Technology,4th,Robotics,Mass-Mailing
LD4751,Hyderabad,St Xaviers College,1st,Robotics,WhatsApp
LD4752,Pune,St Xaviers College,4th,Electric Vehicle,LinkedIn
LD4753,Delhi,St Xaviers College,4th,Electric Vehicle,Mass-Mailing
LD4754,Bangalore,Chandigarh University,4th,Data Science,College Collaboration
LD4755,Kolkata,St Xaviers College,4th,AI,Google Form
LD4756,Surat,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD4757,Surat,Chandigarh University,1st,Data Science,Instagram
LD4758,Chandigarh,Nirma University,4th,AI,WhatsApp
LD4759,Chandigarh,Indus University,1st,Robotics,College Collaboration
LD4760,Delhi,St Xaviers College,2nd,Data Science,Mass-Mailing
LD4761,Surat,CPET Academy,3rd,AI,LinkedIn
LD4762,Jaipur,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD4763,Surat,CPET Academy,2nd,Data Science,Mass-Mailing
LD4764,Delhi,CPET Academy,2nd,Electric Vehicle,College Collaboration
LD4765,Bangalore,Gujarat Institute Of Technology,4th,Electric Vehicle,WhatsApp
LD4766,Surat,CPET Academy,2nd,Robotics,WhatsApp
LD4767,Ahmedabad,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD4768,Jaipur,Chandigarh University,3rd,Robotics,Mass-Mailing
LD4769,Hyderabad,Indus University,4th,Robotics,LinkedIn
LD4770,Mumbai,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD4771,Delhi,St Xaviers College,3rd,Robotics,WhatsApp
LD4772,Surat,Nirma University,1st,Robotics,WhatsApp
LD4773,Jaipur,Indus University,2nd,Electric Vehicle,WhatsApp
LD4774,Pune,Chandigarh University,2nd,AI,Instagram
LD4775,Hyderabad,Gujarat Institute Of Technology,3rd,AI,Google Form
LD4776,Chandigarh,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD4777,Mumbai,CPET Academy,2nd,Electric Vehicle,Instagram
LD4778,Mumbai,Nirma University,2nd,Data Science,LinkedIn
LD4779,Chandigarh,CPET Academy,1st,Data Science,WhatsApp
LD4780,Bangalore,St Xaviers College,2nd,Robotics,Mass-Mailing
LD4781,Surat,Gujarat Institute Of Technology,4th,Data Science,WhatsApp
LD4782,Jaipur,St Xaviers College,3rd,AI,LinkedIn
LD4783,Hyderabad,Chandigarh University,4th,Data Science,WhatsApp
LD4784,Mumbai,Indus University,4th,Electric Vehicle,College Collaboration
LD4785,Chandigarh,Chandigarh University,2nd,Electric Vehicle,WhatsApp
LD4786,Surat,Chandigarh University,2nd,Electric Vehicle,Instagram
LD4787,Pune,CPET Academy,2nd,Robotics,Instagram
LD4788,Bangalore,Indus University,4th,Data Science,WhatsApp
LD4789,Surat,Gujarat Institute Of Technology,1st,AI,Instagram
LD4790,Jaipur,Nirma University,4th,Robotics,Mass-Mailing
LD4791,Surat,St Xaviers College,2nd,Data Science,Instagram
LD4792,Ahmedabad,Gujarat Institute Of Technology,1st,Robotics,College Collaboration
LD4793,Mumbai,Chandigarh University,2nd,Robotics,Instagram
LD4794,Kolkata,Nirma University,2nd,Data Science,Mass-Mailing
LD4795,Mumbai,Indus University,2nd,Data Science,LinkedIn
LD4796,Chandigarh,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD4797,Chandigarh,Chandigarh University,4th,Robotics,Mass-Mailing
LD4798,Surat,Indus University,3rd,Robotics,Mass-Mailing
LD4799,Bangalore,CPET Academy,1st,Data Science,Google Form
LD4800,Hyderabad,Chandigarh University,1st,Data Science,WhatsApp
LD4801,Surat,CPET Academy,2nd,Data Science,WhatsApp
LD4802,Surat,St Xaviers College,1st,Electric Vehicle,College Collaboration
LD4803,Pune,Indus University,1st,Robotics,LinkedIn
LD4804,Delhi,Indus University,1st,AI,Google Form
LD4805,Jaipur,St Xaviers College,3rd,AI,Mass-Mailing
LD4806,Pune,CPET Academy,4th,Data Science,LinkedIn
LD4807,Delhi,Chandigarh University,1st,Electric Vehicle,LinkedIn
LD4808,Ahmedabad,Chandigarh University,4th,Data Science,WhatsApp
LD4809,Pune,CPET Academy,3rd,AI,LinkedIn
LD4810,Surat,Chandigarh University,3rd,Robotics,WhatsApp
LD4811,Bangalore,CPET Academy,2nd,Robotics,Instagram
LD4812,Bangalore,CPET Academy,3rd,Data Science,Google Form
LD4813,Surat,Gujarat Institute Of Technology,3rd,Robotics,Mass-Mailing
LD4814,Kolkata,Gujarat Institute Of Technology,4th,Electric Vehicle,Instagram
LD4815,Pune,Indus University,2nd,Data Science,Google Form
LD4816,Mumbai,St Xaviers College,2nd,Electric Vehicle,WhatsApp
LD4817,Chandigarh,CPET Academy,4th,Electric Vehicle,WhatsApp
LD4818,Bangalore,Indus University,3rd,AI,LinkedIn
LD4819,Jaipur,Gujarat Institute Of Technology,1st,Electric Vehicle,Mass-Mailing
LD4820,Mumbai,Nirma University,1st,Electric Vehicle,LinkedIn
LD4821,Kolkata,Indus University,2nd,Electric Vehicle,College Collaboration
LD4822,Ahmedabad,Chandigarh University,3rd,AI,Instagram
LD4823,Jaipur,Indus University,3rd,Robotics,Mass-Mailing
LD4824,Mumbai,Nirma University,2nd,AI,LinkedIn
LD4825,Kolkata,Chandigarh University,3rd,Data Science,Instagram
LD4826,Ahmedabad,Nirma University,4th,Electric Vehicle,Mass-Mailing
LD4827,Delhi,Gujarat Institute Of Technology,1st,Data Science,WhatsApp
LD4828,Delhi,Chandigarh University,1st,Robotics,College Collaboration
LD4829,Pune,St Xaviers College,3rd,Data Science,Mass-Mailing
LD4830,Jaipur,Chandigarh University,1st,AI,LinkedIn
LD4831,Pune,CPET Academy,3rd,AI,LinkedIn
LD4832,Mumbai,Nirma University,3rd,Electric Vehicle,LinkedIn
LD4833,Kolkata,St Xaviers College,3rd,Data Science,Google Form
LD4834,Mumbai,Chandigarh University,4th,Electric Vehicle,Mass-Mailing
LD4835,Bangalore,Indus University,4th,Electric Vehicle,Instagram
LD4836,Kolkata,Indus University,4th,AI,Instagram
LD4837,Ahmedabad,St Xaviers College,1st,Electric Vehicle,College Collaboration
LD4838,Hyderabad,Nirma University,1st,Robotics,Instagram
LD4839,Kolkata,Nirma University,2nd,Electric Vehicle,College Collaboration
LD4840,Hyderabad,CPET Academy,4th,Electric Vehicle,College Collaboration
LD4841,Jaipur,Chandigarh University,3rd,Electric Vehicle,WhatsApp
LD4842,Mumbai,Chandigarh University,2nd,Data Science,Google Form
LD4843,Surat,Gujarat Institute Of Technology,4th,Data Science,LinkedIn
LD4844,Mumbai,Indus University,2nd,Robotics,Mass-Mailing
LD4845,Pune,Gujarat Institute Of Technology,1st,Robotics,Mass-Mailing
LD4846,Delhi,CPET Academy,1st,Robotics,Google Form
LD4847,Surat,Nirma University,2nd,Robotics,College Collaboration
LD4848,Delhi,Chandigarh University,2nd,Data Science,WhatsApp
LD4849,Kolkata,CPET Academy,2nd,Data Science,Mass-Mailing
LD4850,Delhi,Chandigarh University,2nd,AI,WhatsApp
LD4851,Chandigarh,Gujarat Institute Of Technology,2nd,Robotics,Instagram
LD4852,Chandigarh,Gujarat Institute Of Technology,4th,Data Science,WhatsApp
LD4853,Bangalore,Indus University,4th,AI,Mass-Mailing
LD4854,Mumbai,CPET Academy,3rd,Data Science,Mass-Mailing
LD4855,Pune,Nirma University,3rd,Electric Vehicle,WhatsApp
LD4856,Pune,St Xaviers College,4th,Electric Vehicle,LinkedIn
LD4857,Delhi,Chandigarh University,3rd,AI,Instagram
LD4858,Mumbai,Indus University,3rd,Data Science,Google Form
LD4859,Pune,CPET Academy,3rd,Robotics,WhatsApp
LD4860,Hyderabad,St Xaviers College,3rd,AI,College Collaboration
LD4861,Bangalore,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD4862,Kolkata,Chandigarh University,2nd,Data Science,College Collaboration
LD4863,Ahmedabad,Chandigarh University,1st,Electric Vehicle,Instagram
LD4864,Bangalore,CPET Academy,1st,AI,College Collaboration
LD4865,Pune,Indus University,4th,AI,Google Form
LD4866,Bangalore,Gujarat Institute Of Technology,3rd,Data Science,LinkedIn
LD4867,Mumbai,CPET Academy,3rd,Electric Vehicle,WhatsApp
LD4868,Kolkata,St Xaviers College,4th,AI,Google Form
LD4869,Ahmedabad,Nirma University,1st,Data Science,Google Form
LD4870,Bangalore,Indus University,4th,AI,Instagram
LD4871,Surat,CPET Academy,4th,Data Science,LinkedIn
LD4872,Jaipur,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD4873,Mumbai,Indus University,3rd,Data Science,LinkedIn
LD4874,Kolkata,Nirma University,2nd,Data Science,College Collaboration
LD4875,Chandigarh,Gujarat Institute Of Technology,1st,Robotics,Instagram
LD4876,Surat,St Xaviers College,3rd,Data Science,Mass-Mailing
LD4877,Pune,Gujarat Institute Of Technology,4th,Robotics,WhatsApp
LD4878,Pune,Indus University,4th,Electric Vehicle,LinkedIn
LD4879,Jaipur,Nirma University,1st,AI,WhatsApp
LD4880,Delhi,Nirma University,1st,Robotics,Instagram
LD4881,Jaipur,CPET Academy,1st,Robotics,Google Form
LD4882,Delhi,Chandigarh University,3rd,Data Science,WhatsApp
LD4883,Mumbai,St Xaviers College,4th,Data Science,Google Form
LD4884,Mumbai,Gujarat Institute Of Technology,3rd,Robotics,WhatsApp
